1	Vosim 99S			Jo Scherpenisse	99S	Vosim		Thuis	Sound synthesizer	Jos Jansen	Ongetest		TMS9900	16bits							?	LU			Hardware_Vosim_99S_picture.jpg
2	Teletype ASR33 (3)			Teletype Corporation	33-ASR	LT33-DD	WVV1003	Depot	Hardcopy terminal	Museum	OK		Electromechanisch	20mA currentloop							Denz	MacSimski			
3	Teletype ASR33 (2)			Teletype Corporation	ASR33	ASR33		Depot	Hardcopy terminal	Museum	Werkt niet		Electromechanisch	20mA currentloop								LU			
4	HP 85 (1)			HP	HP85	HP85		Depot	Programmeerbare calculator	Eightdot	Defect		Custom hp	8 bits	Basic							DND	9 augustus 2014		
5	Synertek SYM-1			Synertec	SYM-1	SYM-1	91061738	Home	Computer	MacSimski	OK		6502	8 bits KIM-1 compatible											
6	ITT 2020			ITT	2020	ITT 2020	10949	Depot	Desktop computer	Museum	Defect		6502	8bits Apple II bus											
7	Apple //e (1)			Apple	A2S2064P	Apple //e	313107	Depot	Homecomputer	Museum	Defect		6502	8bits Apple II bus							MacSimski	DND	9 augustus 2014		
8	Apple IIc			Apple	A2S4000B	Apple IIc	C50EDNXX	MacSimski	Homecomputer	MacSimski	OK		6502	8bits Apple II bus	PROdos						MacSimski	Kringlopwinkel amsterdam			Hardware_Apple_IIc_picture.jpg
9	Apple II plus			Apple	II plus	Apple II Plus	A2S2 21207	Depot	Homecomputer	Museum	Defect		6502	8bits Apple II bus							MacSimski				
10	Apple III			Apple	III	Apple III		Depot	Homecomputer	Museum			6502	8bits Apple II bus								Scryption			
11	Lexitron videotype 94			Lexitron	Videotype 94	Videotype 94	2118	Depot	Terminal	Museum	Defect		none	96 pin connector											Hardware_Lexitron_videotype_94_picture.jpg
12	Datalux Microtype		42000007	Datalux	Microtype	Datalux Microtype	920695	Depot	Toetsenbord	Museum	?			AT								DND	9 augustus 2014		
13	Compaq Portable 486			Compaq	Portable 486	Compaq 486		Depot	Portable computer	Museum	Defect		x86	EISA							MacSimski				
14	HP 9122 (1)		42001056	HP	9122	HP 9122	2339A22370	Depot	Storage	Museum	OK			GPIB							MacSimski	MacSimski			
15	HP 9122 (2)			HP	9122	HP 9122	2339A22933	Depot	Storage	Museum	OK			GPIB											
16	HP 9122 (3)			HP	9122	HP 9122	2339A21542	Depot	Storage	Museum	OK			GPIB								Eric van Horssen	10 oktober 2014		
17	HP 110		42000006	HP	110	HP 110	2443A24932	Depot	Portable computer	Museum	?		8086	HP-IL	2.11 (in ROM),MS-DOS						MacSimski				
18	HP 9816			HP	9816	HP 9816	2327G03430	Depot	Desktop computer		Defect		68k	HP-IB							MacSimski	DND	9 augustus 2014		
19	Olivetti M19			Olivetti	M19	Olivetti M19	2133565	Depot	Desktop computer	Museum	OK		8086	ISA							MacSimski	DND	9 augustus 2014		
20	Olivetti M21 (1)			Olivetti	M21	Olivetti M21		Depot	Portable computer	Museum	Defect		8086	ISA							MacSimski	MacSimski			
21	Olivetti M21 (2)			Olivetti	M21	Olivetti M21		Depot	Portable computer	Museum			8086	ISA							MacSimski	MacSimski			
22	Digital VAXMate			Digital	PC500-B3	Digital VAXmate	AI72101480	Depot	Desktop computer	Museum	Defect		80286	ISA							MacSimski	MacSimski			
23	Olivetti PCS 286			Olivetti	PCS 286	Olivetti PCS 286		Depot	Desktop computer	Museum			80286	ISA											
24	Compaq Portable II (2)			Compaq	Portable II	Compaq Portable II		Depot	Portable computer	Museum	OK		8086	ISA	MS-DOS,3.3										
25	Compaq Portable II (1)			Compaq	Portable II	Compaq Portable II		Depot	Portable computer	Museum	OK		8086	ISA	IBM DOS,5.2										
26	Compaq Portable III		42001033	Compaq	Portable III / 2660	Compaq Portable III	4032HL4H0095	Depot	Portable computer	Museum			80286	ISA								Rene Bertin via Ecotronics	23 januari 2015		
27	IBM PS/2 30 (2)			IBM	PS/2 30	IBM PS/2 30		Depot	Desktop computer	Museum			80286	ISA										08-00-2B-34-02-13	
28	IBM PS/2 30 (1)			IBM	PS2/30	IBM PS2/30		Solder-lab	Computer	Jaybee	Operational		80286	ISA	PC-DOS,5.0							DND	9 augustus 2014		
29	Laser XT/3			VTech	XT/3	Laser XT/3		Depot	Desktop computer	Bix	Instabiel		8086	ISA	MS-DOS							DND	9 augustus 2014		
30	IBM PS/2 P70			IBM	PS/2 70	IBM PS/2 P70		Depot	Portable computer	Museum	Defect		x86	Microchannel								DND	9 augustus 2014		
